,size,iteration_GFW_a1,iteration_GFW_e,solved_GFW_a1,solved_GFW_e,runningtime_GFW_a1,runningtime_GFW_e
0,100,12.25,13.87,100,100,0.18254147052764894,0.1939450478553772
1,300,13.575757575757576,16.838383838383837,99,99,0.6402279608177416,0.7031628049985327
2,500,13.39,17.64,100,100,1.1945618438720702,1.3289425826072694
3,700,14.53,19.39,100,100,1.9009601783752441,2.1157994747161863
4,1000,13.74736842105263,19.93548387096774,95,93,3.2613522981342515,3.6638448904919367
