,size,iteration_GFW_a1,iteration_GFW_e,iteration_EPM_a1,iteration_EPM_e,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,runningtime_GFW_a1,runningtime_GFW_e,runningtime_EPM_a1,runningtime_EPM_e
0,5,2.58,2.58,2.12,2.12,50,50,50,50,0.0038743877410888673,0.0038743877410888673,0.0064812803268432615,0.0064812803268432615
1,50,9.068181818181818,9.931818181818182,8.727272727272727,9.204545454545455,50,50,44,44,0.04021989757364446,0.041402708400379525,0.27628593011335895,0.2930638085712086
2,100,11.681818181818182,12.794117647058824,11.136363636363637,11.323529411764707,50,50,44,34,0.15971475839614868,0.16388956238241756,1.4849293340336194,1.5037168965620153
3,150,14.906976744186046,18.620689655172413,14.13953488372093,15.89655172413793,50,50,43,29,0.4799795150756836,0.5422769003900988,5.060222769892493,5.714841250715585
4,200,17.714285714285715,20.88888888888889,14.19047619047619,16.555555555555557,50,50,42,27,1.0242088124865578,1.108874585893419,11.14510973294576,13.018728424001623
5,250,18.82608695652174,22.806451612903224,18.23913043478261,21.258064516129032,50,50,46,31,1.8864725309869517,2.0464443160641577,26.13855848623359,30.20712899392651
6,300,18.365853658536587,21.625,17.975609756097562,22.875,50,50,41,16,2.994179772167671,3.2210172414779663,40.01251284669085,50.720624536275864
