,size,iteration_GFW_a1,iteration_GFW_e,iteration_EPM_a1,iteration_EPM_e,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,runningtime_GFW_a1,runningtime_GFW_e,runningtime_EPM_a1,runningtime_EPM_e
0,5,2.82,2.88,2.32,2.32,100,100,100,100,0.003384883403778076,0.003394944667816162,0.008097696304321288,0.008097696304321288
1,50,9.941176470588236,10.76,8.505882352941176,8.373333333333333,100,100,85,75,0.04432760687435375,0.04610615094502767,0.17655118773965275,0.17450552622477214
2,100,12.384615384615385,13.72,12.23076923076923,12.92,100,100,65,25,0.18152961364159217,0.19336719512939454,1.0660879978766808,1.126647605895996
3,150,14.965909090909092,17.333333333333332,14.545454545454545,15.583333333333334,100,100,88,60,0.5116241194985129,0.5477581024169922,3.204626823013479,3.4516722202301025
4,200,17.65277777777778,19.763157894736842,15.430555555555555,15.526315789473685,100,100,72,38,1.1462003820472293,1.1827135148801302,6.902552819914288,6.933125175927815
5,250,18.893939393939394,23.391304347826086,18.166666666666668,19.565217391304348,100,100,66,23,2.062091791268551,2.2520539449608843,13.959550319295941,14.82150215687959
6,300,19.68421052631579,24.1875,20.228070175438596,20.9375,100,100,57,16,3.3976298005957353,3.676538869738579,23.819589301159507,24.678081408143044
