,size,iteration_GFW_a1,iteration_GFW_e,iteration_EPM_a1,iteration_EPM_e,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,runningtime_GFW_a1,runningtime_GFW_e,runningtime_EPM_a1,runningtime_EPM_e
0,5,2.85,2.89,2.12,2.12,100,100,100,100,0.00461378812789917,0.004637668132781983,0.008030481338500976,0.008030481338500976
1,50,8.641304347826088,9.241379310344827,8.01086956521739,8.080459770114942,100,100,92,87,0.03919611029002978,0.040506576669627224,0.16829226327979047,0.1698534817531191
2,100,11.684931506849315,12.612903225806452,11.698630136986301,11.580645161290322,100,100,73,31,0.169471169171268,0.1742112636566162,1.0004777353103846,0.9869982427166354
3,150,14.59322033898305,16.74074074074074,13.423728813559322,14.37037037037037,100,100,59,27,0.47926124879869364,0.5164601802825928,2.886183164887509,3.0548220387211553
4,200,18.035087719298247,22.434782608695652,15.333333333333334,15.782608695652174,100,100,57,23,1.1227203670300936,1.2413028219471807,6.888953551911471,7.067477143329123
5,250,18.866666666666667,26.3125,16.893333333333334,18.125,100,100,75,32,1.9728257846832276,2.304812029004097,12.940216286977131,13.966105856001377
6,300,19.542857142857144,22.48,19.228571428571428,21.96,100,100,70,25,3.2272098881857736,3.3724461078643797,22.525889611244203,25.574571323394775
