,size,iteration_GFW_a1,iteration_GFW_e,solved_GFW_a1,solved_GFW_e,runningtime_GFW_a1,runningtime_GFW_e
0,100,12.67,14.22,100,100,0.18769001722335815,0.19848106622695924
1,300,15.11,17.724489795918366,100,98,0.7469914937019348,0.7993207269785355
2,500,15.67,19.47,100,100,1.3658418369293213,1.4879166531562804
3,700,15.969696969696969,20.444444444444443,99,99,2.169445533945103,2.3706498410966663
4,1000,16.567010309278352,21.842105263157894,97,95,3.9208574860366348,4.2563557398946665
