,size,iteration_GFW_a1,iteration_GFW_e,iteration_EPM_a1,iteration_EPM_e,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,runningtime_GFW_a1,runningtime_GFW_e,runningtime_EPM_a1,runningtime_EPM_e
0,5,2.43,2.61,1.61,1.63,100,100,100,100,0.0032268309593200682,0.0033362841606140135,0.007075755596160888,0.007152309417724609
1,50,3.8255813953488373,4.511904761904762,4.441860465116279,4.4523809523809526,100,100,86,84,0.0285216958023781,0.030357806455521358,0.09098491557808809,0.09092609371457781
2,100,4.911764705882353,5.8431372549019605,5.661764705882353,5.96078431372549,100,100,68,51,0.10520321831983678,0.11029761445288565,0.4791320562362671,0.5051022557651296
3,150,6.116883116883117,7.509433962264151,6.3896103896103895,6.283018867924528,100,100,77,53,0.3056243085241937,0.3294301167973932,1.3397117837682946,1.3206649096506946
4,200,6.483333333333333,7.722222222222222,7.116666666666666,7.166666666666667,100,100,60,36,0.6287233471870423,0.6611698865890503,2.8594361464182536,2.8956618507703147
5,250,8.333333333333334,10.535714285714286,8.087719298245615,8.535714285714286,100,100,57,28,1.2738432382282459,1.3705339431762695,5.512685917971427,5.829954743385315
6,300,8.246753246753247,10.090909090909092,8.896103896103897,9.454545454545455,99,99,77,33,2.0590724418689677,2.1497812415614272,9.132685091588405,9.648830370469527
