,size,iteration_GFW_a1,iteration_GFW_e,iteration_EPM_a1,iteration_EPM_e,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,runningtime_GFW_a1,runningtime_GFW_e,runningtime_EPM_a1,runningtime_EPM_e
0,5,2.61,2.61,2.07,2.07,100,100,100,100,0.0042375469207763675,0.0042375469207763675,0.007171988487243652,0.007171988487243652
1,50,8.731182795698924,9.666666666666666,8.311827956989248,8.811111111111112,100,100,93,90,0.04054480727000903,0.042918414539761016,0.16772575275872342,0.17802444034152562
2,100,12.258426966292134,13.22972972972973,11.292134831460674,11.68918918918919,100,100,89,74,0.1723561447657896,0.178491109126323,0.9602711147136902,0.9940138410877537
3,150,14.329268292682928,17.745454545454546,14.878048780487806,16.654545454545456,100,100,82,55,0.4708039411684362,0.5304460698908026,3.1816527988852523,3.5931203625418924
4,200,16.96511627906977,20.96078431372549,15.732558139534884,17.862745098039216,100,100,86,51,1.0192510998526285,1.143612913056916,6.6261907649594685,7.5798289635602165
5,250,18.894117647058824,23.30952380952381,18.235294117647058,19.261904761904763,100,100,85,42,1.8338831536910114,2.019213330178034,13.025783474305097,13.701186236881075
6,300,19.36470588235294,24.941176470588236,19.141176470588235,23.970588235294116,100,100,85,34,2.9279044600094064,3.2811507056741154,20.537668657302856,25.576720665482913
