,size,iteration_GFW_a1,iteration_GFW_e,solved_GFW_a1,solved_GFW_e,runningtime_GFW_a1,runningtime_GFW_e
0,100,11.86,13.04,100,100,0.17179952144622804,0.17977069854736327
1,300,15.21,17.89,100,100,0.6628962755203247,0.7112788009643555
2,500,14.85,19.15,100,100,1.2474275279045104,1.373669228553772
3,700,16.34,20.46,100,100,2.0978727459907534,2.2725608372688293
4,1000,15.87,20.73469387755102,100,98,3.338061714172363,3.6474907130611185
