,size,iteration_GFW_a1,iteration_GFW_e,iteration_EPM_a1,iteration_EPM_e,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,runningtime_GFW_a1,runningtime_GFW_e,runningtime_EPM_a1,runningtime_EPM_e
0,2,1.98,2.0,1.1,1.12,50,50,50,50,0.0032826709747314454,0.003304266929626465,0.0033236169815063477,0.0033236169815063477
1,100,11.634146341463415,11.944444444444445,11.317073170731707,11.277777777777779,50,50,41,18,0.2974658652049739,0.2911069393157959,1.0748946317812291,1.0742144452200995
2,200,18.48148148148148,26.8,16.48148148148148,15.7,50,50,27,10,3.262062946955363,3.8221828937530518,7.271741566834627,6.963034439086914
3,300,20.6,22.727272727272727,18.77777777777778,21.636363636363637,50,50,45,22,12.860096327463786,12.985899047418075,21.036028904385038,24.06390422040766
4,400,25.205128205128204,34.65,22.128205128205128,27.6,50,50,39,20,44.268940265362076,46.857131767272946,51.47175961274367,64.18764828443527
5,500,26.96,33.166666666666664,21.8,23.666666666666668,50,50,25,6,100.0,100.0,83.54639649391174,90.87770382563274
