,i_y1,s_y1,r_y1,i_y2,s_y2,r_y2,i_z1,s_z1,r_z1,i_z2,s_z2,r_z2
0,11,True,18.615374326705933,13,True,22.17883324623108,,False,,,False,
1,13,True,21.122652053833008,15,True,24.561246633529663,23.0,True,109.27839851379395,,False,
2,14,True,24.25246787071228,36,True,62.76299571990967,,False,,,False,
3,12,True,20.98659348487854,25,True,44.02436399459839,26.0,True,110.63910508155823,,False,
4,39,True,60.359126329422,41,True,63.42585325241089,13.0,True,58.32371687889099,,False,
5,36,True,63.077619791030884,49,True,86.68310308456421,,False,,,False,
6,16,True,25.8412127494812,19,True,30.729053020477295,18.0,True,78.68874597549438,,False,
7,25,True,40.510931968688965,27,True,43.99815917015076,16.0,True,70.54029107093811,,False,
8,21,True,34.85751223564148,22,True,36.613710165023804,23.0,True,105.56517720222473,,False,
9,22,True,35.28396964073181,31,True,49.82458162307739,31.0,True,135.6974322795868,,False,
10,27,True,44.9991021156311,29,True,48.332842111587524,21.0,True,87.67432284355164,,False,
11,31,True,55.20561647415161,35,True,62.678616523742676,,False,,,False,
12,16,True,22.79594111442566,19,True,27.100075006484985,,False,,,False,
13,25,True,38.204716205596924,26,True,39.781607151031494,17.0,True,71.2142961025238,,False,
14,23,True,41.30126428604126,24,True,43.292275190353394,,False,,,False,
15,20,True,34.36718988418579,23,True,39.6508629322052,,False,,,False,
16,28,True,49.80563282966614,29,True,51.62358784675598,24.0,True,96.13787269592285,,False,
17,14,True,23.35849666595459,14,True,23.35849666595459,,False,,,False,
18,11,True,18.33675217628479,14,True,23.408945322036743,13.0,True,55.29360365867615,,False,
19,19,True,31.091890573501587,25,True,41.4081871509552,18.0,True,84.05881643295288,,False,
20,15,True,26.366175174713135,18,True,31.623347282409668,18.0,True,78.01391077041626,,False,
21,21,True,36.36435317993164,23,True,39.93259525299072,36.0,True,169.52968978881836,,False,
22,17,True,29.87332844734192,18,True,31.61763858795166,22.0,True,89.79151344299316,,False,
23,24,True,44.357627630233765,33,True,61.03389835357666,37.0,True,175.28214120864868,,False,
24,23,True,37.550450563430786,27,True,44.08186650276184,15.0,True,61.57958436012268,,False,
25,15,True,24.957342863082886,19,True,31.60371232032776,,False,,,False,
26,16,True,26.528045654296875,17,True,28.46538281440735,39.0,True,173.1402325630188,,False,
27,17,True,30.723971366882324,18,True,32.680416107177734,,False,,,False,
28,26,True,39.573585510253906,28,True,42.7394335269928,,False,,,False,
29,29,True,53.18523979187012,33,True,60.494367599487305,,False,,,False,
30,23,True,39.917072772979736,38,True,65.58824133872986,20.0,True,82.79653930664062,,False,
31,11,True,19.738828420639038,12,True,21.72287154197693,12.0,True,49.307751417160034,,False,
32,27,True,48.75014567375183,27,True,48.75014567375183,,False,,,False,
33,21,True,38.28130865097046,27,True,49.21389365196228,22.0,True,100.39968061447144,,False,
34,22,True,36.146188259124756,45,True,73.74767923355103,,False,,,False,
35,23,True,40.06427192687988,35,True,61.769171476364136,15.0,True,62.927326679229736,,False,
36,13,True,20.314356803894043,14,True,21.879833698272705,24.0,True,109.79051899909973,,False,
37,20,True,35.38942098617554,25,True,44.386274099349976,24.0,True,103.74318289756775,,False,
38,26,True,43.50588369369507,28,True,46.93377232551575,26.0,True,114.17032146453857,,False,
39,14,True,24.878501415252686,15,True,26.808379411697388,12.0,True,51.32841491699219,,False,
40,31,True,48.37610340118408,34,True,52.9871346950531,,False,,,False,
41,14,True,25.223104000091553,14,True,25.223104000091553,,False,,,False,
42,12,True,19.395047664642334,14,True,22.611206769943237,20.0,True,85.81123423576355,,False,
43,14,True,25.842541456222534,17,True,31.380873680114746,,False,,,False,
44,52,True,89.70743751525879,56,True,96.44365668296814,,False,,,False,
45,23,True,42.39097356796265,26,True,47.772746324539185,,False,,,False,
46,12,True,21.41221523284912,20,True,36.212809562683105,,False,,,False,
