,x,i_y1,i_y2,i_z1,i_z2,s_y1,s_y2,s_z1,s_z2,r_y1,r_y2,r_z1,r_z2
0,2,2.0,2.0,1.0,1.1,10,10,10,10,0.00810399055480957,0.00810399055480957,0.005086255073547363,0.0055267572402954105
1,50,9.3,9.8,7.6,7.555555555555555,10,10,10,9,0.2757408857345581,0.2900285482406616,0.35824687480926515,0.35758421156141496
2,100,11.2,12.1,10.714285714285714,12.0,10,10,7,3,0.9958717584609985,1.0673954963684082,2.519958462033953,2.7494937578837075
3,150,14.4,18.0,14.166666666666666,80.0,10,10,6,0,3.03066201210022,3.7458184957504272,9.04373033841451,100.0
4,200,17.4,23.0,13.625,80.0,10,10,8,0,7.7575276613235475,10.12096848487854,18.126415461301804,100.0
5,250,17.9,23.8,22.714285714285715,80.0,10,10,7,0,16.642885422706605,22.11664984226227,56.16171424729483,100.0
6,300,19.7,22.5,18.0,80.0,10,10,6,0,30.53141345977783,34.91792635917663,75.79591532548268,100.0
