,x,i_y1,i_y2,i_z1,i_z2,s_y1,s_y2,s_z1,s_z2,r_y1,r_y2,r_z1,r_z2
0,2,1.74,2.0,1.0824742268041236,1.1649484536082475,100,100,97,97,0.004971239566802978,0.005584950447082519,0.004277052338590327,0.004592969245517377
1,50,6.18,7.0,4.582278481012659,4.638888888888889,100,99,79,72,0.14082683086395265,0.15966999410378813,0.23527796057206166,0.24192141824298435
2,100,7.591836734693878,8.806122448979592,6.348837209302325,4.0,98,98,43,1,0.7694245236260551,0.898096211102544,1.367444260175838,0.7293059825897217
3,150,8.34,10.03,6.568181818181818,80.0,100,100,44,0,2.7081910800933837,3.2749265384674073,3.946393912488764,100.0
4,200,9.232323232323232,11.16326530612245,7.603174603174603,80.0,99,98,63,0,6.818332900904646,8.268188077576307,9.53652214247083,100.0
5,250,8.979591836734693,10.763440860215054,8.705128205128204,80.0,98,93,78,0,8.853472841029264,10.590235389688964,21.5461077720691,100.0
6,300,9.66326530612245,12.097826086956522,8.528735632183908,80.0,98,92,87,0,15.059910377677607,18.811133659404256,33.37589895862273,100.0
