,x,i_y1,i_y2,i_z1,i_z2,s_y1,s_y2,s_z1,s_z2,r_y1,r_y2,r_z1,r_z2
0,2,1.39,1.39,1.0,1.0444444444444445,100,100,90,90,0.003306396007537842,0.003306396007537842,0.0038282606336805555,0.003985148006015354
1,50,2.85,2.85,2.63,2.63,100,100,100,100,0.06229728698730469,0.06229728698730469,0.10631054878234864,0.10631054878234864
2,100,3.13,3.13,3.13,3.13,100,100,100,100,0.2843770480155945,0.2843770480155945,0.5957970261573792,0.5957970261573792
3,150,4.53,4.53,3.92,3.92,100,100,100,100,1.2173498392105102,1.2173498392105102,1.9271175789833068,1.9271175789833068
4,200,2.68,2.68,2.45,2.45,100,100,100,100,1.7488013792037964,1.7488013792037964,2.061628701686859,2.061628701686859
5,250,2.99,2.99,2.09,2.09,100,100,100,100,2.106098618507385,2.106098618507385,3.394006061553955,3.394006061553955
6,300,3.25,3.25,2.13,2.13,100,100,100,100,4.022454493045807,4.022454493045807,6.285006527900696,6.285006527900696
