,i_y1,s_y1,r_y1,i_y2,s_y2,r_y2,i_z1,s_z1,r_z1,i_z2,s_z2,r_z2
0,10,True,10.755165815353394,11,True,11.654695749282837,7.0,True,14.538883209228516,,False,
1,8,True,8.38210153579712,17,True,16.659923315048218,6.0,True,13.791839122772217,,False,
2,7,True,7.174283027648926,10,True,10.246248006820679,12.0,True,26.265649795532227,,False,
3,10,True,10.772257089614868,11,True,11.809729099273682,6.0,True,14.020431280136108,,False,
4,12,True,12.362345933914185,17,True,17.984809398651123,7.0,True,17.403528690338135,,False,
5,8,True,8.177391529083252,9,True,9.095196723937988,9.0,True,20.85671329498291,14.0,True,34.60232949256897
6,8,True,8.862367630004883,8,True,8.862367630004883,8.0,True,19.96542477607727,,False,
7,9,True,8.746728420257568,10,True,9.59335446357727,8.0,True,18.179688215255737,,False,
8,18,True,19.487066745758057,22,True,23.48988151550293,8.0,True,18.869953393936157,,False,
9,12,True,12.386589288711548,18,True,18.032286882400513,6.0,True,14.412960529327393,,False,
10,10,True,10.005997657775879,11,True,10.88930082321167,12.0,True,27.099876642227173,,False,
11,10,True,9.496148586273193,12,True,11.389743566513062,13.0,True,31.726290941238403,,False,
12,9,True,10.900814771652222,10,True,11.992610692977905,9.0,True,20.434706926345825,,False,
13,6,True,5.691936731338501,9,True,8.481767654418945,8.0,True,17.54570436477661,,False,
14,11,True,10.382575511932373,12,True,11.272154569625854,9.0,True,20.048252820968628,,False,
15,9,True,8.26490831375122,9,True,8.26490831375122,8.0,True,17.340742111206055,,False,
16,7,True,6.408134460449219,11,True,10.229904174804688,7.0,True,15.429080247879028,10.0,True,22.89906406402588
17,9,True,8.17607831954956,9,True,8.17607831954956,9.0,True,21.375959634780884,,False,
18,6,True,5.84827995300293,9,True,8.765124082565308,15.0,True,36.0640549659729,,False,
19,7,True,8.315479278564453,9,True,10.934482336044312,6.0,True,14.25361943244934,,False,
20,10,True,9.232547998428345,17,True,15.462203979492188,7.0,True,14.056062936782837,,False,
21,15,True,14.298593997955322,19,True,17.826727628707886,8.0,True,17.188828945159912,,False,
22,10,True,9.392849206924438,11,True,10.296723127365112,,False,,,False,
23,7,True,7.644726991653442,16,True,16.239691972732544,8.0,True,19.072758436203003,,False,
24,9,True,8.208351612091064,9,True,8.208351612091064,8.0,True,16.689493656158447,,False,
25,11,True,10.16259479522705,13,True,12.21703314781189,6.0,True,14.752277851104736,,False,
26,10,True,10.871838331222534,12,True,12.748996257781982,9.0,True,19.583430767059326,,False,
27,7,True,7.05212140083313,9,True,8.906934261322021,7.0,True,15.619134902954102,,False,
28,6,True,6.139573097229004,8,True,7.914847135543823,,False,,,False,
