,x,i_y1,i_y2,i_z1,i_z2,s_y1,s_y2,s_z1,s_z2,r_y1,r_y2,r_z1,r_z2
0,10,3.0,3.0,2.0,2.0,1,1,1,1,0.012924671173095703,0.012924671173095703,0.010851860046386719,0.010851860046386719
1,52,3.0,3.0,2.0,2.0,1,1,1,1,0.09586215019226074,0.09586215019226074,0.0754082202911377,0.0754082202911377
2,129,3.0,3.0,4.0,4.0,1,1,1,1,0.6880502700805664,0.6880502700805664,1.3375940322875977,1.3375940322875977
3,161,3.0,3.0,3.0,3.0,1,1,1,1,1.2998738288879395,1.2998738288879395,1.8729281425476074,1.8729281425476074
4,188,3.0,3.0,3.0,3.0,1,1,1,1,1.6564710140228271,1.6564710140228271,2.3870999813079834,2.3870999813079834
5,526,3.0,3.0,5.0,5.0,1,1,1,1,31.38246202468872,31.38246202468872,71.91422724723816,71.91422724723816
