,x,i_y1,i_y2,i_z1,i_z2,s_y1,s_y2,s_z1,s_z2,r_y1,r_y2,r_z1,r_z2
0,2,1.99,2.0,1.15,1.16,100,100,100,100,0.004414906501770019,0.00443509578704834,0.004225494861602783,0.00426044225692749
1,50,8.72,9.35,8.031578947368422,8.089887640449438,100,100,95,89,0.2620170021057129,0.2812451720237732,0.3919621066043251,0.3927842525953657
2,100,11.86,13.04,11.897435897435898,12.028571428571428,100,100,78,35,1.0516369795799256,1.1549375915527345,2.8347878884046507,2.8612826006753105
3,150,14.36,17.42,13.474358974358974,80.0,100,100,78,0,3.0620975255966187,3.7130803179740908,9.19719222570077,100.0
4,200,17.73,21.5,15.833333333333334,80.0,100,100,78,0,7.90393589258194,9.607097506523132,22.39436395657368,100.0
5,250,18.81,23.75,16.935897435897434,80.0,100,100,78,0,18.300857124328612,23.133683805465697,45.22927644619575,100.0
6,300,19.84,24.08,19.08108108108108,80.0,100,100,74,0,32.9107469534874,40.07083369493485,82.62460505962372,100.0
