,x,i_y1,i_y2,i_z1,i_z2,s_y1,s_y2,s_z1,s_z2,r_y1,r_y2,r_z1,r_z2
0,2,2.0,2.0,1.25,1.25,100,100,100,100,0.004031124114990234,0.004031124114990234,0.004116463661193848,0.004116463661193848
1,50,9.81,10.43,8.561797752808989,8.443037974683545,100,100,89,79,0.2786429786682129,0.2963448762893677,0.42138321747940577,0.41536340230627905
2,100,12.67,14.22,12.277777777777779,12.392857142857142,100,100,72,28,1.1279024434089662,1.2652758383750915,2.9290844996770224,2.946198659283774
3,150,15.44,18.0,14.518987341772151,16.0,100,100,79,1,3.3858836984634397,3.9372197556495667,10.206363994863969,11.762931108474731
4,200,17.73,20.82,15.222222222222221,80.0,100,100,72,0,7.992246396541596,9.38624498128891,21.557629336913426,100.0
5,250,19.26,24.59,18.180555555555557,80.0,100,100,72,0,19.164213783740998,24.45706527233124,48.763498140705956,100.0
6,300,20.45,25.17,20.5,80.0,100,100,60,0,34.06238445043564,41.994564158916475,88.43799013694128,100.0
