,x,i_y1,i_y2,r_y1,r_y2,s_y1,s_y2,i_z1,i_z2,r_z1,r_z2,s_z1,s_z2
0,2,2.0,2.0,0.004635250568389893,0.004635250568389893,100,100,1.26,1.26,0.005010514259338379,0.005010514259338379,100,100
1,50,9.81,10.43,0.27123858213424684,0.29266885995864866,100,100,8.551724137931034,8.428571428571429,0.5977988654169543,0.5884132137546292,87,77
2,100,12.67,14.22,1.0403432631492615,1.1690994906425476,100,100,12.271428571428572,12.733333333333333,4.13655607019152,4.272151247660319,70,30
3,150,15.44,18.0,3.095255126953125,3.6017415714263916,100,100,14.285714285714286,16.0,19.781443831208463,24.278583765029907,77,1
4,200,17.73,20.82,7.170673410892487,8.41960692882538,100,100,15.6,80.0,36.195472974777225,100.0,75,0
5,250,19.26,24.59,17.214728124141693,21.971297566890716,100,100,18.093333333333334,80.0,85.25681557019551,100.0,75,0
6,300,20.45,25.17,29.196893563270567,36.02624389886856,100,100,20.44927536231884,80.0,100.0,100.0,69,0
