,x,i_y1,i_y2,i_z1,i_z2,s_y1,s_y2,s_z1,s_z2,r_y1,r_y2,r_z1,r_z2
0,2,2.0,2.0,1.38,1.38,100,100,100,100,0.0046565008163452146,0.0046565008163452146,0.0055013751983642575,0.0055013751983642575
1,50,6.47,7.32,5.84,6.105263157894737,100,100,100,95,0.19760093927383424,0.2227109408378601,0.2675802445411682,0.2809289856960899
2,100,7.35,9.14,7.371134020618556,8.357142857142858,100,100,97,70,0.741054003238678,0.9242695927619934,1.5272723891071438,1.7520242588860648
3,150,7.91,10.3,7.891304347826087,9.147058823529411,100,100,92,34,1.9562057042121888,2.540708260536194,4.55898155077644,5.293544706176309
4,200,8.79,11.48,8.25263157894737,11.4,100,100,95,10,4.574377341270447,5.976023545265198,9.471605245690597,13.322069668769837
5,250,8.85,12.17,8.968421052631578,14.0,100,100,95,4,8.33599595785141,11.415370318889618,19.689776513451026,31.083982527256012
6,300,9.14,12.91,9.181818181818182,80.0,100,100,99,0,14.391478743553161,20.224525117874144,31.853901357361764,100.0
