,x,i_y1,i_y2,r_y1,r_y2,s_y1,s_y2,i_z1,i_z2,r_z1,r_z2,s_z1,s_z2
0,2,1.99,2.0,0.004829449653625488,0.004849500656127929,100,100,1.15,1.16,0.004768679141998291,0.0048126006126403805,100,100
1,50,8.72,9.35,0.2536864185333252,0.2720217871665955,100,100,8.02127659574468,8.134831460674157,0.45215190978760417,0.45906252539559694,94,89
2,100,11.86,13.04,0.9637028551101685,1.060003972053528,100,100,11.897435897435898,12.028571428571428,6.690378873776167,6.759300334112985,78,35
3,150,14.36,17.42,2.852862548828125,3.4694150948524474,100,100,13.395061728395062,10.0,21.451431309735334,15.609395742416382,81,1
4,200,17.73,21.5,6.9848868894577025,8.471260011196136,100,100,16.096385542168676,80.0,40.27778889472226,100.0,83,0
5,250,18.81,23.75,16.24579808950424,20.508846805095672,100,100,16.82278481012658,80.0,61.15303605417662,100.0,79,0
6,300,19.84,24.08,27.65812087059021,33.621721210479734,100,100,19.18421052631579,80.0,100.0,100.0,76,0
