,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,5x5,2.82,0.857291954324485,2.88,0.8321810214882656,2.32,0.7504880566886619,2.32,0.7504880566886619,4.35,1.3734495390671042,4.39,1.391859449539619,100,100,100,100,100,100,0.02753676176071167,0.008564975182075376,0.028076868057250976,0.008367989249849855,0.008348548412322998,0.0021393474521797145,0.008348548412322998,0.0021393474521797145,0.008174500465393066,0.003263276601269901,0.008234360218048097,0.0032500252934889316
1,10x10,4.14,1.2473810949183093,4.17,1.2796385221908368,3.51,1.306510503964548,3.52,1.3141037580300452,13.66,5.025631273478953,13.85,5.031968508517027,100,100,100,100,100,100,0.03914042234420776,0.011957217569298479,0.03939500093460083,0.012189345587723782,0.014859838485717774,0.004294589420972281,0.01489988088607788,0.0043334058885628355,0.04768949031829834,0.016775422103786,0.048360083103179935,0.016774573307437327
2,15x15,5.090909090909091,1.6848115566576347,5.191919191919192,1.6883560877722767,4.252525252525253,1.3119811654278557,4.252525252525253,1.3119811654278557,25.16,6.655627223438356,25.46,6.667302999934026,100,100,99,99,100,100,0.04948861189562865,0.015507404782710186,0.05045826266510318,0.01555326436917063,0.01922970347934299,0.005302032623222224,0.01922970347934299,0.005302032623222224,0.15769359588623047,0.04092613158217967,0.15960437774658204,0.041041184198324254
3,20x20,5.858585858585859,1.8844698329308829,6.02020202020202,1.932428935672526,4.98989898989899,1.6993092804163628,5.040404040404041,1.8566988036109808,36.67,9.08217813060058,37.62,9.203402971870053,100,100,99,99,100,100,0.05892154664704294,0.01762127148315822,0.060407429030447296,0.018067608407796292,0.030078871081573793,0.009408836550646713,0.03035161230299208,0.01024243582003635,0.5207521820068359,0.13043950734616294,0.5346490502357483,0.1322211987265391
4,25x25,6.39,2.1315096371664235,6.75,2.3756976646743992,6.06,2.228465975971051,6.07,2.221360944206151,54.94,13.973148853744064,56.38,13.669829641376019,100,100,100,100,100,100,0.07166171073913574,0.033216823914398515,0.07516127347946167,0.03451279069505751,0.04898957967758179,0.01768077297567933,0.0490695858001709,0.017657839051948235,1.2123798179626464,0.32793811864212985,1.2437391877174377,0.3265386487313934
5,30x30,6.979166666666667,2.4147754245223694,7.252631578947368,2.4011009046500544,6.083333333333333,2.0808230490369697,6.168421052631579,2.132088335855834,72.49,21.72346634170042,74.86,23.132914152171093,100,100,96,95,100,100,0.07853236297766368,0.031150564660819217,0.08120288095976178,0.031047856654506913,0.06368611752986908,0.021931099783444593,0.06455204863297312,0.022524676375912073,2.3095078086853027,0.744211835226046,2.389041953086853,0.7829706626070913
