,size,utilitarian_GFW_e,egalitarian_GFW_e,nash_GFW_e,utilitarian_EPM_e,egalitarian_EPM_e,nash_EPM_e,utilitarian_COMB_e,egalitarian_COMB_e,nash_COMB_e
0,3x3,1.5560040276268907,0.6777785164051652,0.13053333271964082,1.5560040276268894,0.677778516405163,0.13053333271964063,1.5560040276271263,0.677778516405676,0.13053333271965886
1,4x4,1.4026154798354944,0.48324246482839656,0.006533930570666746,1.1999097802494465,0.39805931417028334,0.00684664591473645,1.1999097802498517,0.3980593141705142,0.006846645914746564
2,5x5,1.6688125849421929,0.48496007949462694,0.0015334670122606287,1.4814317520520497,0.4199787465554439,0.001966450218347338,1.4814317520602054,0.4199787465611279,0.0019664502183941368
3,6x6,1.8865027143127278,0.4966180447944036,0.0003601773376180244,1.6516053160532103,0.3421622772973255,0.00039214398545150443,1.6516053160533466,0.3421622772974771,0.00039214398545192857
4,7x7,1.4256695982559602,0.3354065853174415,3.164358955829918e-06,1.350377419515637,0.3131888068965321,3.221430746948149e-06,1.548511524125388,0.4059429707420201,3.6798066140546234e-06
5,8x8,1.4682666890775629,0.32920788980455956,4.298515034260422e-07,1.4682666890775713,0.32920788980456517,4.298515034260449e-07,1.5112662993073886,0.37430475676688224,4.028485038690196e-07
6,9x9,1.6467855218011194,0.33117400241315464,5.801330929071198e-08,1.6467855218011167,0.33117400241314754,5.80133092907127e-08,1.6467855218030223,0.33117400241397177,5.801330929137423e-08
7,10x10,1.397762453383445,0.2426703538845499,4.403587231880004e-10,1.4284259268176454,0.2749272529290882,1.2028735002716882e-09,1.428425926821496,0.2749272529294236,1.2028735003305814e-09
8,11x11,1.73066179572132,0.3178515848981618,1.9773986945055484e-10,1.7201527408134014,0.2897695958957307,2.4981662872687366e-10,1.7306617957344628,0.3178515848858726,1.9773986949024901e-10
9,12x12,1.6447693841634452,0.32505290872949016,1.5803937281961393e-12,1.5221855702095755,0.27699770754500147,2.182866904680192e-12,1.5476636542118234,0.29873322035689076,1.9277109896854256e-12
10,13x13,1.7906304965078805,0.2709211313879903,4.271430110025651e-13,1.6930826599920807,0.24252244218271962,1.1550650857998965e-12,1.6930826599925561,0.24252244218273722,1.1550650858048725e-12
11,14x14,1.8970483466438925,0.24065636578566293,6.881459888154755e-14,1.897048346643895,0.2406563657856618,6.881459888154854e-14,1.8970483466474501,0.24065636578483113,6.88145988853625e-14
12,15x15,1.7501080032204688,0.18888848579062517,8.634439625618332e-16,1.6068263957142588,0.20795385019887072,4.563210816953342e-16,1.7322814614444983,0.22896866952949613,7.714234115294039e-16
13,16x16,1.4822642083038047,0.20322372760333127,1.0208071181054832e-18,1.5214294190325668,0.2329863629305317,2.17699926993243e-18,1.5247788379131393,0.2629017313912788,1.923387926770872e-18
