,size,utilitarian_GFW_e,egalitarian_GFW_e,nash_GFW_e,utilitarian_EPM_e,egalitarian_EPM_e,nash_EPM_e,utilitarian_COMB_e,egalitarian_COMB_e,nash_COMB_e,distant_prices
0,5x5,1.811599820317488,0.6506313257560763,0.0035920984158090046,1.6974544611169045,0.5657811699203952,0.004030362867178983,1.7153120713494516,0.606711614722365,0.003947035396729617,1.8502304296369796
1,10x10,2.097831516298986,0.39563027208313234,9.766633956587735e-08,2.098159350984195,0.40179575054070504,1.1122686393369736e-07,2.1196611242593226,0.412462191318979,1.1045745199274947e-07,2.8923644500257826
2,15x15,2.4497929801844363,0.39165415994116404,2.2713353901305373e-13,2.2714983776289195,0.37992251875293814,1.977999689720932e-13,2.470340393820254,0.38738722778432905,2.761538130745048e-13,6.42589640094599
3,20x20,2.241910476966192,0.26980895542336125,4.633441392792197e-21,2.2002058655287,0.2425247920142346,8.655627983875844e-21,2.225771109291599,0.2650285166274286,6.940624216927483e-21,7.599038247128689
4,25x25,2.356057497866513,0.23061436341190605,9.711549955534684e-28,2.30956475485156,0.22172525790736586,8.703342403359605e-28,2.4623933085979197,0.26247633590700287,9.666860501345072e-28,9.98422788484945
5,30x30,2.5708990406644916,0.21943178503410307,1.2511063245549058e-34,2.4953157844394918,0.21499601542698166,1.5654672431220236e-34,2.5936586768099845,0.23865337200721504,1.92777551591565e-34,7.419770901535042
6,35x35,2.7707463435927817,0.2132184687415875,2.256023281617202e-41,2.693106480609456,0.20678828243068026,1.854479297790269e-41,2.7915579159346176,0.22950903927887795,1.6720813718853405e-41,10.844772889362467
7,40x40,2.744108162618977,0.20627751129916955,7.243373259224406e-49,2.6225729539257947,0.17600840581793648,1.6713924483659155e-48,2.6851910536211347,0.18459669596264855,9.64873529501696e-49,11.159259706329445
8,45x45,2.8462978183844507,0.16367186978439732,1.546125188768171e-57,2.734109890130826,0.16512539370285684,1.487154693091794e-57,2.8144376778432147,0.175930307202141,1.840104390542896e-57,9.871148713640315
9,50x50,2.8913769204423887,0.18030531460123786,1.3017879480852489e-65,2.74433751559714,0.16446261403591805,1.5780936551572933e-65,2.850734648307114,0.18374275828647219,1.2516710192752752e-65,12.563843673911903
