,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,5x5,2.61,0.6339709708805228,2.61,0.6339709708805228,2.07,0.768771813355629,2.07,0.768771813355629,3.68,1.127077206895353,3.74,1.0974718422102885,100,100,100,100,100,100,0.022207863330841064,0.005289572786826628,0.022207863330841064,0.005289572786826628,0.006579978466033936,0.0014621977435580363,0.006579978466033936,0.0014621977435580363,0.006501779556274414,0.0020331099714406874,0.006592013835906982,0.001969748690625215
1,10x10,4.01,1.3669622740170477,4.08,1.3756908273755595,3.16,1.060969634653398,3.16,1.060969634653398,12.0,3.4670162993851097,12.27,3.535833877902244,100,100,100,100,100,100,0.03453296184539795,0.011834421449803912,0.03512282371520996,0.012033766982917618,0.012196834087371827,0.0033984396556456984,0.012196834087371827,0.0033984396556456984,0.04034701108932495,0.011149399923643848,0.04130306005477905,0.011523009638992882
2,15x15,4.94,1.4551892514637923,5.06,1.4690063982092798,3.99,1.4940623220676648,3.99,1.4940623220676648,22.62,5.508084049739063,22.97,5.567682723457843,100,100,100,100,100,100,0.04225987672805786,0.011966459433659397,0.04320003032684326,0.012024641302540029,0.016659564971923828,0.005350160700933671,0.016659564971923828,0.005350160700933671,0.13142341136932373,0.0317533519974375,0.1334535574913025,0.03194660116394127
3,20x20,5.575757575757576,1.7905130326871772,5.797979797979798,1.818161203758628,4.585858585858586,1.442857857214117,4.585858585858586,1.442857857214117,34.45,8.472623769255497,35.34,8.50575562709619,100,100,99,99,100,100,0.051817761527167425,0.022896064224753397,0.05367662689902566,0.0229841655524469,0.02611384488115407,0.008082812058936555,0.02611384488115407,0.008082812058936555,0.4470736241340637,0.11947283008463731,0.45887261152267456,0.12025075409418642
4,25x25,6.298969072164948,1.9373787513330583,6.525773195876289,2.0004831890547656,5.597938144329897,2.0849649967806863,5.597938144329897,2.0849649967806863,48.78,11.95917297231787,50.3,12.190822844097179,100,100,97,97,100,100,0.059267257906726954,0.022226932264500364,0.06127693481052045,0.023007916809731424,0.04096035121642437,0.015086750601184385,0.04096035121642437,0.015086750601184385,0.9315849256515503,0.23500615043757167,0.9619867634773255,0.23897792339210785
5,30x30,7.0,2.405667068102565,7.43010752688172,2.5168901163693094,5.852631578947369,1.9294383542424836,5.935483870967742,1.938211028651125,64.69,15.628060104384765,66.41,15.342615767393076,100,100,95,93,100,100,0.06903363278037623,0.034101810424416026,0.07277826596331853,0.034687647419599746,0.05628697495711477,0.018900339361242594,0.05711560351874239,0.019148110874392523,1.8054027462005615,0.45033640293850813,1.8600437664985656,0.44533581573545866
