,size,utilitarian_GFW_e,egalitarian_GFW_e,nash_GFW_e,utilitarian_EPM_e,egalitarian_EPM_e,nash_EPM_e,utilitarian_COMB_e,egalitarian_COMB_e,nash_COMB_e
0,5x5,3.563428080398039,1.4442292867976885,0.11725126669775761,3.5177490441862296,1.423768198782831,0.12290229562708858,3.5658499337426535,1.4616381060805053,0.12379481274664095
1,10x10,4.097190950097931,0.8379205264049008,6.38866966268706e-05,4.130202161723362,0.9198091990849736,6.914884602054378e-05,4.108609446104099,0.9271064837056248,6.845889456188927e-05
2,15x15,4.60146735574907,0.648129523221133,7.732887869971333e-09,4.64364184141849,0.6269326281131244,1.090579246318379e-08,4.659357677747099,0.6962084298362574,9.316081525461379e-09
3,20x20,5.101644197895648,0.5066603980727451,7.48392516832946e-13,5.038779986148807,0.506497313523065,7.528283931844854e-13,5.0910002622666894,0.5351327255743625,6.816770283786258e-13
4,25x25,5.447911071166006,0.42892468321790694,2.8443576878763584e-17,5.389571000153904,0.4041281882149794,2.9855872815163524e-17,5.4844894965420306,0.4480386581482332,2.786435540681784e-17
5,30x30,6.02359115518812,0.41793823314788997,1.8637330045076062e-21,5.9490605941376185,0.404583211911998,1.770874588606697e-21,6.020461658790593,0.4121351663799606,1.950619697940747e-21
6,35x35,6.4781229172260755,0.3615167496434609,6.116890405706684e-27,6.469903305518312,0.3584551857265546,5.979515907189188e-27,6.49257221099231,0.34902155044556615,4.8931345348994075e-27
7,40x40,7.11630175390282,0.3965771748929138,7.2837684253682265e-31,7.01679225707844,0.38034934661307096,8.89727790871016e-31,7.084709714803472,0.3994357390054194,8.195908951170646e-31
8,45x45,7.3520999298231935,0.323917531386442,1.0087872305907443e-35,7.230702881691873,0.30784370191358884,6.40916311083957e-36,7.284508597284425,0.32558107238147005,4.7450670806199286e-36
9,50x50,7.892221258600489,0.3316892375309156,8.91979432960511e-40,7.851772360374165,0.3273996107657088,8.979522738784035e-40,7.9124319327558625,0.3251200956382,8.936226300833891e-40
10,55x55,8.3764360288271,0.3262983554180441,2.286530232074578e-46,8.320110658462045,0.32252078342745566,1.966528346261796e-46,8.416510126557448,0.3326036379350502,2.0047847744899812e-46
11,60x60,8.646942198774829,0.29047405104494844,1.1618855444036317e-51,8.545991657197009,0.2832689692681003,1.2586138278584334e-51,8.675953912622154,0.3062271933978669,1.7542221642315462e-51
12,65x65,9.064868223559479,0.28499595707494796,6.628376619912856e-57,8.996950816508651,0.27544942280618034,5.853302811227113e-57,9.077303510293362,0.2884109261606734,6.910098311071423e-57
13,70x70,9.291753214157206,0.25672833575797466,3.9700156972894774e-63,9.202622265419636,0.2528383106620472,3.218013600938988e-63,9.349270139154255,0.26372392252244004,3.708016147751731e-63
14,75x75,9.699688274506485,0.25281786852761395,9.078040171497839e-68,9.637833507963268,0.24922594881938356,7.36078800610639e-68,9.710996664565304,0.25857324049207536,9.806134863761774e-68
15,80x80,9.910934557522229,0.2601305090058729,1.4457777612656205e-74,9.84889379034456,0.25072996693858723,1.5980928519209936e-74,9.974810401803483,0.26405320634145246,1.754297474907104e-74
