,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,100x10,9.33,2.796299863979708,9.83,2.8676354952004166,,,,,,,,,100,100,0,0,0,0,0.09157837629318237,0.024737616501778876,0.09587149620056153,0.02544798993893391,,,,,,,,
1,100x200,14.28,4.621163437398803,16.34,5.891647914761636,,,,,,,,,100,100,0,0,0,0,0.5476661992073059,0.11417857622801998,0.5943879175186157,0.14427221349540517,,,,,,,,
2,100x400,14.33,3.8848449392504985,16.81,4.806760811081571,,,,,,,,,100,100,0,0,0,0,1.1465896439552308,0.16410693618740466,1.2379216718673707,0.1990483981435699,,,,,,,,
3,100x600,15.21,4.060887597657448,19.75,5.2864893546634235,,,,,,,,,100,100,0,0,0,0,1.8798550176620483,0.25563184376638165,2.107742290496826,0.3056222883500507,,,,,,,,
4,100x800,16.15,4.870805628922955,20.83,6.421326525215358,,,,,,,,,100,100,0,0,0,0,2.8066537141799928,0.3837574809818074,3.109737927913666,0.4653741093061254,,,,,,,,
5,100x1000,15.87,3.477648688990942,20.73469387755102,5.980295859329766,,,,,,,,,100,98,0,0,0,0,3.341281569004059,0.33197568432160557,3.7173512833459035,0.5215200932186919,,,,,,,,
