,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,5x5,2.85,0.7961396760860395,2.89,0.8027100562117271,2.12,0.6857864319910612,2.12,0.6857864319910612,3.84,1.2530367153842743,3.95,1.3055824196677337,100,100,100,100,100,100,0.023458163738250732,0.017319876844588213,0.023748319149017334,0.01730706202651357,0.007590732574462891,0.006553326423963859,0.007590732574462891,0.006553326423963859,0.06724538803100585,0.021965188107230638,0.06910576343536377,0.02307443361584319
1,10x10,3.99,1.388953533849106,4.08,1.4261624710878467,2.99,1.1502744512207999,2.99,1.1502744512207999,11.62,3.4953937943782227,11.74,3.5035912311728823,100,100,100,100,100,100,0.03202132225036621,0.010191671050372197,0.03270204544067383,0.010564482072304681,0.01282090425491333,0.005868267619255875,0.01282090425491333,0.005868267619255875,0.6546036410331726,0.1983670259331509,0.6615458464622498,0.19865483224068398
2,15x15,4.94,1.562308574132548,5.09,1.6397523833761851,3.93,1.3352637540685708,3.94,1.3319689989415726,22.33,5.768347977006795,22.84,5.807901270830729,100,100,100,100,100,100,0.045575687885284426,0.022051864289290738,0.04666627407073975,0.02212233723543725,0.01739304304122925,0.004946312488810438,0.017432987689971924,0.004943091810791765,2.759090557098389,0.7159204110578887,2.820144338607788,0.7181858929303214
3,20x20,5.69,1.8350955717825044,5.89,1.8796894220142655,4.81,1.5998421639321025,4.82,1.5978520936342357,34.51,7.657431855802745,35.48,7.8231461805092435,100,100,100,100,100,100,0.05816365718841553,0.04732328000433767,0.05969239950180054,0.04720171243213619,0.027721514701843263,0.009076644714127256,0.02777148723602295,0.009064063461222696,7.780885088443756,1.7026135349353486,7.998424694538117,1.7441149849130957
4,25x25,6.3232323232323235,2.415208119769741,6.6767676767676765,2.645088952743205,5.5353535353535355,1.8861099764131268,5.565656565656566,1.9068170730925043,50.47,12.4035307778703,52.086021505376344,13.030612713728571,100,100,99,99,100,93,0.06840252153801196,0.05679451981294252,0.07107272292628433,0.05683856821950256,0.04078947173224555,0.013523976667040147,0.041022377784806066,0.013655894436462606,18.27341938018799,4.476030403118445,18.866516197881392,4.710033870507127
5,30x30,6.707070707070707,2.1488132712130503,6.959183673469388,2.1342487866792936,5.555555555555555,1.6550616378078822,5.581632653061225,1.704593366195418,71.99,27.385572770340172,73.26804123711341,28.000935796831513,100,100,99,98,100,97,0.08898644977145725,0.07401858094838137,0.09089643128064213,0.07426292576149078,0.05585100674870038,0.017480218452016104,0.056150229609742454,0.0179932050046712,38.73193951129913,14.755092310501823,39.42487144470215,15.084100450746558
