,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,5x5,2.75,0.8453676505795953,2.76,0.8542230210530326,2.57,0.9873441572463397,2.57,0.9873441572463397,4.84,1.7449494218596955,4.89,1.802887694895066,100,100,100,100,100,100,0.03267030000686646,0.010940670014609867,0.03278033018112183,0.01101936112157413,0.010799410343170167,0.004924364468298581,0.010799410343170167,0.004924364468298581,0.010746190547943115,0.004244314594080528,0.010835473537445068,0.004316123550759188
1,10x10,3.4242424242424243,1.0506646010483576,3.5555555555555554,1.2056179905878255,3.212121212121212,1.0027790697400503,3.212121212121212,1.0027790697400503,13.71,4.332855451504973,14.17,4.275972333158787,100,100,99,99,100,100,0.03714896934201019,0.010834175745693656,0.03847217078160758,0.012338661864895416,0.01578559779157542,0.004475169049535098,0.01578559779157542,0.004475169049535098,0.049858005046844484,0.016249130871169526,0.05151314973831177,0.01618218193081483
2,15x15,4.181818181818182,1.2964916266730748,4.373737373737374,1.2982394561195885,3.909090909090909,1.1960044799836673,3.9494949494949494,1.2646991848006615,24.17,5.162128994666415,24.74,5.149521896018679,100,100,99,99,100,100,0.04689601936725655,0.014795877196222601,0.04908263562905668,0.015185870386410758,0.020270995419434827,0.005264932981337946,0.020463069279988606,0.005645182741887611,0.1574912929534912,0.035556831022739196,0.1611826729774475,0.03484057485969338
3,20x20,4.94949494949495,1.6059439170687582,5.242424242424242,1.69688134764271,4.353535353535354,1.6679030664410615,4.383838383838384,1.7065723536092698,34.75,8.026943265142602,36.21,8.224495317788392,100,100,99,99,100,100,0.055656030924633296,0.02947333010892401,0.05852554061196067,0.02978764738689804,0.028498584573919124,0.01015882712535322,0.028650339203651506,0.010312672642589976,0.45870052099227904,0.11340072807337957,0.4795298266410828,0.11710738549712063
4,25x25,5.222222222222222,1.7702505043277237,5.5353535353535355,1.8312097669224203,4.747474747474747,1.527592706318219,4.777777777777778,1.5290089864764125,46.76,8.969217841421228,48.06,9.584098783659805,100,100,99,99,100,100,0.06300416378059773,0.021914720549245575,0.06641108339483087,0.02242291939794021,0.041042017214226,0.013546281891957756,0.041294581962354256,0.013578310678155254,0.9467379474639892,0.19424520468463488,0.9773161745071411,0.20607087668614057
5,30x30,5.51,1.5208649851417795,5.87,1.5995895938292635,4.93,1.4372743564669823,4.96,1.4349180809335076,62.56,12.877291891723454,64.21,12.869425830709078,100,100,100,100,100,100,0.058242466449737545,0.03044062931679836,0.06136888265609741,0.030491878967349523,0.04890196561813354,0.014392463633435522,0.049197313785552976,0.0143845342135646,1.715597355365753,0.40484227747195395,1.7727115893363952,0.4074953707508419
