,size,utilitarian_GFW_e,egalitarian_GFW_e,nash_GFW_e,utilitarian_EPM_e,egalitarian_EPM_e,nash_EPM_e,utilitarian_COMB_e,egalitarian_COMB_e,nash_COMB_e
0,5x5,16.16164814814815,4.737285714285714,301.5138622509372,15.82967023809517,4.53061904761895,311.1995167255709,16.153733730186968,4.7824047619089916,327.06045942689605
1,10x10,21.274876999874024,3.581710758377425,2366.2957982694916,21.440931510876055,3.5932980599647286,2447.7096429810854,21.70132657266442,3.5502425044219,2425.553670171607
2,15x15,25.378103439153435,3.285772486772487,1179.2073362570013,25.086830687830645,2.999142857142819,1158.8153309386312,25.42092960071178,3.2408359789044177,1159.406802143289
3,20x20,28.920814484126982,2.6941696428571427,355.9846158021517,28.914577380953197,2.5791339285715256,380.500509173552,29.463460251886534,2.8776408730547494,413.844400058314
4,25x25,31.980104056437387,2.2724444444444445,378.4811449324394,31.926770723103775,2.283555555555237,377.7272174808267,32.07831569717042,2.2457777778571497,366.6230399772842
5,30x30,34.291984126984126,2.077222222222222,31.449583518729334,33.438650793650794,1.8394444444446751,30.58586921842791,34.0499841279074,2.0350000000424475,51.80852454320584
6,35x35,39.07295918367347,2.177551020408163,19.890447618924657,38.42346938775419,2.0074829931975366,18.49944417244532,37.90646258661708,1.86938775516047,17.787757389349284
7,40x40,41.84895833333333,2.00625,3.6046194373391707,41.28098958333331,1.5093750000011568,3.5785247898979224,41.12838541825019,1.5031250000737726,3.1835035168024897
8,45x45,46.82820987654321,1.80962962962963,4.047173044888355,46.181481481481136,1.4177777777814349,3.7756917071369607,46.01240740904886,1.4155555556483852,3.537243337728756
9,50x50,51.20066666666666,1.7206666666666668,2.6933503014333455,50.47016666666662,1.2046666666716936,2.150555091889682,50.47016666972839,1.2046666668557873,2.150555097047794
10,55x55,55.91606060606059,1.5060606060606059,2.100682420377751,55.550909090909066,1.2054545454571304,1.8677951897949274,55.55090909258278,1.205454545556551,1.8677951922686122
11,60x60,60.495000000000005,1.3950000000000002,1.6169628620114793,60.34749999999999,1.1000000000060695,1.5538060699778748,60.34750000085707,1.1000000000367802,1.5538060708946453
12,65x65,65.29730769230768,1.4953846153846153,1.1488444800744966,65.00000000000001,1.0000000000035372,1.0000000000000058,65.00000000177747,1.0000000001313443,1.0000000017774606
13,70x70,70.29285714285714,1.1957142857142857,1.2666175663968264,70.10000000000008,1.0014285714290172,1.1699116370977032,70.10000000249083,1.0014285715731233,1.1699116402203735
14,75x75,75.24966666666667,1.2013333333333334,1.2557398697349211,75.10000000000002,1.001333333335833,1.1700378656301216,75.10000000385457,1.0013333335266172,1.1700378717332525
15,80x80,80.049375,1.0987500000000001,1.0211159468804336,80.0,1.0000000000003708,0.9999999999999793,80.00000000222,1.0000000000933995,1.0000000022200024
