,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,5x5,2.8,0.8287754140107481,2.86,0.8290191356493094,2.3,0.771984194112546,2.3,0.771984194112546,,,,,100,100,100,100,0,0,0.022595083713531493,0.00680757032250136,0.02302025318145752,0.0068494084895136444,0.007612695693969726,0.0018076430393500933,0.007612695693969726,0.0018076430393500933,,,,
1,50x50,9.365591397849462,3.144301077507076,10.0,3.307744922237541,8.268817204301076,2.7746515055213847,8.383720930232558,2.837432993357211,,,,,100,100,93,86,0,0,0.10282083736952916,0.029237855248983615,0.10852759383445562,0.030818707027173056,0.18997079326260474,0.06562625299446993,0.19289387104123137,0.06763302242043727,,,,
2,100x100,12.219178082191782,4.552919012819215,13.4,4.760952285695233,11.972602739726028,4.176563588578153,11.6,4.203173404306164,,,,,100,100,73,25,0,0,0.28153509963048645,0.07342268985403225,0.2976039695739746,0.08077428938833915,1.1726535019809252,0.4175766338430604,1.1315692615509034,0.41642707123391487,,,,
3,150x150,14.28,5.192406097473607,15.81578947368421,6.0038513007041825,13.586666666666666,4.371570728082828,14.552631578947368,5.054820382945439,,,,,100,100,75,38,0,0,0.6356879838307699,0.15656324156424378,0.6782251094516955,0.189467191114145,3.232285811106364,1.051504535115793,3.4405948237368933,1.1758132929191047,,,,
4,200x200,16.16883116883117,6.098754396990027,20.40740740740741,6.026728260756469,16.454545454545453,5.332485977343459,18.333333333333332,6.028235450072392,,,,,100,100,77,54,0,0,1.2562051562519816,0.2832112031184523,1.4284557457323428,0.27963868422676885,7.363509252473905,2.4717501343923227,8.231871326764425,2.736444506814966,,,,
5,250x250,18.46875,6.2334702047616135,21.322580645161292,6.513509534161509,17.171875,6.3209269148988,19.129032258064516,7.2052847988305135,,,,,100,100,64,31,0,0,2.2821198999881744,0.410597976996987,2.429466808995893,0.41458449209332077,12.810546107590199,4.847923016515593,14.244671998485442,5.4521290067008845,,,,
6,300x300,19.865671641791046,6.261705456493507,24.941176470588236,7.180447307056275,20.119402985074625,6.765604607038373,21.0,5.1599418601375735,,,,,100,100,67,17,0,0,3.6332073389594233,0.6281234999946074,3.9678124680238613,0.7037218742390184,23.014611945223454,8.116548077859518,24.029737767051248,5.943066584528193,,,,
