,size,utilitarian_GFW_e,egalitarian_GFW_e,nash_GFW_e,utilitarian_EPM_e,egalitarian_EPM_e,nash_EPM_e,utilitarian_COMB_e,egalitarian_COMB_e,nash_COMB_e,distant_prices
0,5x5,1.2515734331494788,0.38098096543604243,0.0006553932429263629,1.1633656096442568,0.3413899120295475,0.000680190687615007,1.2012707465442252,0.3715837901144651,0.0006961274542530923,2.0471183951848007
1,10x10,1.5546804812064212,0.26677820471671143,5.408023638028504e-09,1.544632896711628,0.26526426304608874,6.134870776920415e-09,1.5591502529605896,0.2777343258166859,6.14435918137254e-09,2.7531575139983975
2,15x15,1.8074498319752226,0.2593331766544936,3.692594522634786e-15,1.68293621909452,0.22724433411884365,3.690639702815641e-15,1.817471432883485,0.247179187899932,4.149259147902256e-15,5.205541779026053
3,20x20,1.7123381181158155,0.1858511969067553,2.4192798991987865e-23,1.6687985226068853,0.16677888347879977,4.214341198152311e-23,1.699811111338135,0.19445297017869462,3.7509880796016377e-23,7.761446189380237
4,25x25,1.8227717118976972,0.17368105604108636,1.678021314844148e-30,1.7516289332361588,0.15527426101020475,1.4841137604984274e-30,1.870514846263891,0.18417636674453192,1.6193568810965805e-30,8.989416808911994
5,30x30,1.9597609721828622,0.16033325366999426,4.2692001735929593e-38,1.9200120629391382,0.15449493929751998,7.08340911956325e-38,2.021591139770211,0.17428561084191468,8.737448410420261e-38,8.924082286565278
6,35x35,2.1593723678359695,0.16202191720998968,3.2961892698080835e-45,2.0961839248059335,0.1479231229764791,2.4954656982177184e-45,2.1802361762365745,0.1636704384545659,2.5405437409680693e-45,10.978629681112485
7,40x40,2.1154863576416787,0.14146527427469868,2.779920481422432e-53,2.006904353560684,0.12854702479288177,6.268667504934778e-53,2.067202886523254,0.13448682210041585,5.877959682623759e-53,12.045961033858564
8,45x45,2.12654662633486,0.11481841162918653,5.384431167231616e-63,2.031828606529456,0.11369251213155027,5.367712139083706e-63,2.0798434715300593,0.11724829959989239,7.156604990370041e-63,9.423915823393546
9,50x50,2.2139665481519737,0.12018189934309688,4.6738865045304655e-71,2.103965638582016,0.12372950887261973,6.173192806172216e-71,2.1620260549705006,0.12177917668507576,4.207609170770572e-71,12.905039494345496
