,size,utilitarian_GFW_e,egalitarian_GFW_e,nash_GFW_e,utilitarian_EPM_e,egalitarian_EPM_e,nash_EPM_e,utilitarian_COMB_e,egalitarian_COMB_e,nash_COMB_e,distant_prices
0,5x5,1.997921267310425,0.8205567008707371,0.00446521633288792,1.8220552608404534,0.6976498632220969,0.00570762194298385,1.836626960468776,0.7330379965084397,0.005323905571158033,1.769331791595275
1,10x10,2.0769147427118275,0.4857899787762511,7.190921894025825e-08,2.10235480941385,0.4705774429433938,8.142951136898948e-08,2.1242505376247682,0.50573237437663,7.85916618440237e-08,3.7935828773854503
2,15x15,2.379145105204835,0.4444981098413662,6.70135541429412e-14,2.2197121628395697,0.451617716882884,5.323505194429882e-14,2.3671611191795905,0.45656673791005026,7.450144159951784e-14,6.40395645648349
3,20x20,2.0830767401645827,0.29537146404479614,6.889992399587861e-22,2.0248308624920153,0.2566238138653419,9.502661801795485e-22,2.0442422389145403,0.2655545923846253,8.442707158846829e-22,8.79990955259491
4,25x25,2.2043197499941285,0.23552022472437603,3.680063041278483e-29,2.134859496210385,0.22282513874577753,3.3445539375494517e-29,2.280950774615364,0.28022282931522535,3.2101169772623925e-29,9.490402241542137
5,30x30,2.3601661505633187,0.21644787743352092,2.5716483497458612e-36,2.277467330347762,0.22704899148096067,1.94960549914697e-36,2.350625283332582,0.24772320248751792,2.2228625064478118e-36,9.578019190426865
6,35x35,2.5071546739167805,0.23790029223953515,7.102181296980505e-44,2.4006668550387706,0.20971815460287208,5.402085511363487e-44,2.50758508897677,0.20534755011198133,4.84188338967701e-44,13.381909258146353
7,40x40,2.4054858203439267,0.19682837426269661,1.2001400442899116e-51,2.281232338110776,0.17211012909325452,3.890342728486141e-51,2.35323794772135,0.18445948438821325,3.309550582155637e-51,14.06380453841664
8,45x45,2.4200999044909723,0.16253366577924594,5.8541515772607794e-61,2.3252608622854956,0.16601036978974384,5.179188588840071e-61,2.3970908115148903,0.16589215034656296,4.221890617905024e-61,11.136651825394013
9,50x50,2.327884103138116,0.15083702210042005,4.832051456244275e-72,2.252484715747367,0.15495854910495618,5.667860155941331e-72,2.3226834052515763,0.14319796701992477,1.1096533019002311e-71,17.23015244838338
