,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,100x10,6.19,1.8073642844113234,7.25,2.0955701232395305,,,,,,,,,100,100,0,0,0,0,0.07218197345733643,0.020347414162444257,0.08329732418060302,0.02405200133209756,,,,,,,,
1,100x500,8.33,1.8149491464061467,11.78,3.6253317507547225,,,,,,,,,100,100,0,0,0,0,1.1445530080795288,0.11146350450284821,1.3164499521255493,0.19495283080235404,,,,,,,,
2,100x1000,7.663265306122449,1.559433399291281,12.673684210526316,3.8906382599040086,,,,,,,,,98,95,0,0,0,0,2.941516557518317,0.19642287780455392,3.38862445981879,0.3927803318608355,,,,,,,,
3,100x1500,7.75,1.4451241601965688,12.25,3.4151365850777977,,,,,,,,,100,96,0,0,0,0,5.573104486465454,0.30457244308121867,6.18225031842788,0.5338250046335858,,,,,,,,
4,100x2000,7.444444444444445,1.3341834024877997,13.33695652173913,3.6593315125809496,,,,,,,,,99,92,0,0,0,0,9.156449590066467,0.48052254725842697,10.227937084177267,0.7852073048022895,,,,,,,,
5,100x2500,7.510869565217392,1.2447212955834426,13.5125,3.397667666152808,,,,,,,,,92,80,0,0,0,0,14.019623930039613,0.8910225176413232,15.39871606528759,1.1936090233751249,,,,,,,,
6,100x3000,7.40625,1.5866424331040423,14.162162162162161,4.329026044492129,,,,,,,,,96,74,0,0,0,0,19.110588217775028,1.0439569161213422,20.910593442014747,1.470820808663047,,,,,,,,
