,size,iteration_GFW_a1,iteration_GFW_e,iteration_EPM_a1,iteration_EPM_e,iteration_COMB_a1,iteration_COMB_e,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_e,runningtime_EPM_a1,runningtime_EPM_e,runningtime_COMB_a1,runningtime_COMB_e
0,100x100,11.304347826086957,11.090909090909092,10.565217391304348,9.818181818181818,,,30,30,23,11,0,0,0.37399294065392535,0.38138385252519086,1.2679372559423032,1.1647204919294878,,
1,200x100,18.0,18.625,14.6,14.625,,,30,30,15,8,0,0,0.85853271484375,0.865744024515152,3.856064542134603,3.930011659860611,,
2,300x100,26.0,24.033333333333335,14.333333333333334,,,,30,30,3,1,0,0,1.631808916727702,1.5742781321207682,6.162442763646443,,,
3,400x100,23.0,27.0,18.571428571428573,23.0,,,30,30,14,3,0,0,2.2008309023720876,2.32843812306722,11.378508159092494,14.752731164296469,,
4,500x100,24.9,31.0,19.9,,,,30,30,10,0,0,0,2.979630398750305,3.317478370666504,15.09872808456421,,,
5,600x100,31.75,33.06666666666667,19.75,,,,30,30,4,0,0,0,4.6041712164878845,6.064742588996888,19.519824624061584,,,
